Name,Kategorie,Anzahl Schichten,Schichten,U-Wert [W/m²K],OIB-konform,Passivhaus-tauglich,last_updated
LAHOF_ID01_Decke_TG_geschlossen,Unbekannt,8,LAHOF_Tektalan_A2_SD100_10cm | LAHOF_Stahlbeton_30cm | LAHOF_Daemmschuettung_050_14p5cm | LAHOF_Dampfbremse_sd100_0p04cm | LAHOF_Trittschalldaemm_MW_T033_3cm | LAHOF_PE_Folie_0p2mm | LAHOF_Heizestrich_E225_7p5cm | LAHOF_Bodenbelag_1cm,0.186,N/A,N/A,2025-08-14T15:09:29
LAHOF_ID02_Decke_Radgarage,Unbekannt,9,LAHOF_Gipskarton_GKF15_1p5cm | LAHOF_Mineralwolle_039_8cm | LAHOF_Massivholz_BSH_24cm | LAHOF_Kies_8cm | LAHOF_PP_Rieselschutzvlies_0p04cm | LAHOF_Trittschalldaemm_MW_T033_3cm | LAHOF_Dampfbremse_sd100_0p04cm | LAHOF_Heizestrich_E225_7p5cm | LAHOF_Bodenbelag_1cm,0.192,N/A,N/A,2025-08-14T15:09:29
LAHOF_IW01_Wand_EG_Radgarage,Unbekannt,7,LAHOF_Gipskarton_GKF15_1p5cm | LAHOF_Massivholz_BSH_10cm | LAHOF_Steinwolle_Trennwand_035_3cm | LAHOF_Massivholz_BSH_12cm | LAHOF_Mineralwolle_035_5cm | LAHOF_Gipskarton_GKF15_1p5cm | LAHOF_Gipskarton_GKF15_1p5cm,0.231,N/A,N/A,2025-08-14T15:09:29
LAHOF_IW03_Wand_Keller_Tiefgarage,Unbekannt,2,LAHOF_Tektalan_A2_SD100_10cm | LAHOF_Stahlbeton_20cm,0.7,N/A,N/A,2025-08-14T15:09:29
LAHOF_IW10_Wand_Radgarage_Haus4,Unbekannt,3,LAHOF_Duennputzspachtel_0p2cm | LAHOF_Stahlbeton_20cm | LAHOF_Holzwolle_Steinwolle_10cm,0.732,N/A,N/A,2025-08-14T15:09:29
LAHOF_KD01_Decke_Keller,Unbekannt,8,LAHOF_Tektalan_A2_SD100_10cm | LAHOF_Stahlbeton_30cm | LAHOF_Daemmschuettung_050_14p5cm | LAHOF_Dampfbremse_sd100_0p04cm | LAHOF_Trittschalldaemm_MW_T033_3cm | LAHOF_PE_Folie_0p2mm | LAHOF_Heizestrich_E225_7p5cm | LAHOF_Bodenbelag_1cm,0.186,N/A,N/A,2025-08-14T15:09:29
LAHOF_ZD01_Zwischendecke_Wohnungen,Unbekannt,7,LAHOF_Massivholz_BSH_20cm | LAHOF_PP_Rieselschutzvlies_0p04cm | LAHOF_Kies_8cm | LAHOF_Trittschalldaemm_MW_T033_3cm | LAHOF_Dampfbremse_sd100_0p04cm | LAHOF_Heizestrich_E225_7p5cm | LAHOF_Bodenbelag_1cm,0.36,N/A,N/A,2025-08-14T15:09:29
LAHOF_ZD02_Zwischendecke_Wohnungen_Feuchtraum,Unbekannt,9,LAHOF_Luftschicht_5cm_R0p18 | LAHOF_Gipskarton_GKB12p5_1p5cm | LAHOF_Massivholz_BSH_20cm | LAHOF_PP_Rieselschutzvlies_0p04cm | LAHOF_Kies_8cm | LAHOF_Trittschalldaemm_MW_T033_3cm | LAHOF_Dampfbremse_sd100_0p04cm | LAHOF_Heizestrich_E225_7p5cm | LAHOF_Fliesen_1cm,0.336,N/A,N/A,2025-08-14T15:09:29
LAHOF_ZD03_Zwischendecke_Gang_Stgh,Unbekannt,9,LAHOF_Gipskarton_GKF15_1p5cm | LAHOF_Massivholz_BSH_20cm | LAHOF_PP_Rieselschutzvlies_0p04cm | LAHOF_Kies_6cm | LAHOF_Daemmschuettung_050_4cm | LAHOF_Trittschalldaemm_MW_T033_3cm | LAHOF_Dampfbremse_sd100_0p04cm | LAHOF_Heizestrich_E225_7p5cm | LAHOF_Bodenbelag_1cm,0.276,N/A,N/A,2025-08-14T15:09:29
LAHOF_ZD10_Zwischendecke_EG_H4,Unbekannt,8,LAHOF_Tektalan_A2_SD100_10cm | LAHOF_Stahlbeton_20cm | LAHOF_PP_Rieselschutzvlies_0p04cm | LAHOF_Daemmschuettung_050_8cm | LAHOF_Dampfbremse_sd250_0p04cm | LAHOF_Trittschalldaemm_MW_T033_3cm | LAHOF_Heizestrich_E225_7p5cm | LAHOF_Bodenbelag_1cm,0.247,N/A,N/A,2025-08-14T15:09:29
LAHOF_ZW01_Wohnungstrennwand,Unbekannt,7,LAHOF_Gipskarton_GKF12p5_1p3cm | LAHOF_Gipskarton_GKF12p5_1p3cm | LAHOF_Massivholz_BSH_10cm | LAHOF_Steinwolle_Trennwand_035_3cm | LAHOF_Massivholz_BSH_10cm | LAHOF_Gipskarton_GKF12p5_1p3cm | LAHOF_Gipskarton_GKF12p5_1p3cm,0.361,N/A,N/A,2025-08-14T15:09:29
LAHOF_ZW02_Aufzugswand_Holz_Wohnung,Unbekannt,7,LAHOF_Gipskarton_GKF15_1p5cm | LAHOF_Massivholz_BSH_12cm | LAHOF_Akustic_HWP2_3cm | LAHOF_Massivholz_BSH_10cm | LAHOF_Gipskarton_GKF12p5_1p3cm | LAHOF_Mineralwolle_035_7p5cm | LAHOF_Gipskarton_GKF12p5_1p3cm,0.24,N/A,N/A,2025-08-14T15:09:29
LAHOF_ZW03_Wohnung_zu_Stgh,Unbekannt,9,LAHOF_Gipskarton_GKF15_1p5cm | LAHOF_Mineralwolle_035_5cm | LAHOF_Gipskarton_GKF12p5_1p3cm | LAHOF_Massivholz_BSH_10cm | LAHOF_Steinwolle_Trennwand_035_3cm | LAHOF_Massivholz_BSH_10cm | LAHOF_Luftschicht_0p5cm_R0p09 | LAHOF_Mineralwolle_035_5cm | LAHOF_Gipskarton_GKF15_1p5cm,0.176,N/A,N/A,2025-08-14T15:09:29
LAHOF_ZW04_Wohnung_zu_Gang,Unbekannt,7,LAHOF_Gipskarton_GKF12p5_1p3cm | LAHOF_Gipskarton_GKF12p5_1p3cm | LAHOF_Massivholz_BSH_10cm | LAHOF_Luftschicht_0p5cm_R0p09 | LAHOF_Mineralwolle_035_7p5cm | LAHOF_Gipskarton_GKF12p5_1p3cm | LAHOF_Gipskarton_GKF12p5_1p3cm,0.296,N/A,N/A,2025-08-14T15:09:29
LAHOF_ZW05_Zwischenwand_GK_doppelt,Unbekannt,5,LAHOF_Gipskarton_GKF12p5_1p3cm | LAHOF_Gipskarton_GKF12p5_1p3cm | LAHOF_Mineralwolle_035_7p5cm | LAHOF_Gipskarton_GKF12p5_1p3cm | LAHOF_Gipskarton_GKF12p5_1p3cm,0.397,N/A,N/A,2025-08-14T15:09:29
LAHOF_ZW06_Zwischenwand_GK_einfach,Unbekannt,4,LAHOF_Gipskarton_GKF12p5_1p3cm | LAHOF_Mineralwolle_035_5cm | LAHOF_Luftschicht_2p5cm_R0p10 | LAHOF_Gipskarton_GKF12p5_1p3cm,0.556,N/A,N/A,2025-08-14T15:09:29
LAHOF_ZW07_Schachtwand_Aufenthaltsraum,Unbekannt,5,LAHOF_Gipskarton_GKF15_1p5cm | LAHOF_Gipskarton_GKF15_1p5cm | LAHOF_Gipskarton_GKF15_1p5cm | LAHOF_Mineralwolle_035_7p5cm | LAHOF_Gipskarton_GKF15_1p5cm,0.392,N/A,N/A,2025-08-14T15:09:29
LAHOF_ZW08_Schachtwand_HKLS_Var,Unbekannt,4,LAHOF_Gipskarton_GKF15_1p5cm | LAHOF_Gipskarton_GKF15_1p5cm | LAHOF_Gipskarton_GKF15_1p5cm | LAHOF_Mineralwolle_035_7p5cm,0.402,N/A,N/A,2025-08-14T15:09:29
